Longitude,Latitude
121;27;3.12709999998332933,29;24;53.38319999999662
121;27;3.82640000001984504,29;24;54.7114000000001255
121;27;6.95100000000096,29;24;56.1984999999985
121;27;7.87319999997265541,29; 24; 56.5194000000047225
121; 27; 10.3339000000269721,29; 24; 57.6453000000037719
121; 27; 9.94000000000234252,29;24; 57.5348999999987853
121;27; 9.90350000001498643,29;24;57.5221000000019
121;27;10.7656999999889536,29; 24; 59.2217999999994049
121;27;10.5373999999719103,29;24;58.395900000003067
121;27; 10.9797999999719309,29;24;59.7709999999934638
121;27;9.58659999998055,29;24; 59.4649000000063666
121;27;14.330499999981825,29;25;4.71169999999986544
121;27; 14.0976999999838171,29;25;4.92750000000519606
121;27;19.3571000000228821,29; 25;5.24920000000555831
121;27;18.908600000024407,29; 25;4.32540000000145142
121;27;14.1170999999740587,29;25;4.58920000000219375
121;27;12.1520000000018058,29;25;4.53859999999991715
121;27; 9.85499999998140197,29;25; 1.53770000000086782
